27472_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27473_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27474_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27475_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27476_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27477_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27478_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27479_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27480_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27481_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27482_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27483_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27484_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27485_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27486_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27487_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27488_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27489_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27490_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27491_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27492_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27493_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27494_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27495_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27496_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27497_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27498_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27499_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27500_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27501_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27502_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27503_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27504_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27505_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27506_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27507_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27508_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27509_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27510_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27511_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27512_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27513_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27514_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27515_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27516_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27517_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27518_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27519_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27520_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27521_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27522_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27523_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27524_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27525_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27526_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27527_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27528_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27529_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27530_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27531_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27532_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
